texture_id,texture,payload_key,width,height,mip_count,dxgi_format,payload_bytes,payload_valid,material_reference_count,base_color_materials,normal_materials,roughness_materials,metallic_materials,opacity_materials,emissive_materials
10,palm_bark_diff_4k.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/palm_bark_diff_4k.jpg,4096,4096,13,BC1_UNORM,11184824,True,3,3,0,0,0,0,0
11,palm_bark_nor_gl_4k.exr,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/palm_bark_nor_gl_4k.exr,4096,4096,13,BC5_UNORM,22369648,True,3,0,3,0,0,0,0
12,palm_bark_rough_4k.exr,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/palm_bark_rough_4k.exr,4096,4096,13,BC4_UNORM,11184824,True,3,0,0,3,0,0,0
13,PX_Chamaedorea_elegans_Leaf_01_albedo_E.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_chamaedorea_elegans_leaf_01_albedo_e.jpg,4096,4096,13,BC1_UNORM,11184824,True,3,3,0,0,0,0,0
14,PX_Chamaedorea_elegans_Leaf_01_normal.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_chamaedorea_elegans_leaf_01_normal.jpg,4096,4096,13,BC5_UNORM,22369648,True,3,0,3,0,0,0,0
15,PX_Chamaedorea_elegans_Leaf_01_roughness.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_chamaedorea_elegans_leaf_01_roughness.jpg,4096,4096,13,BC4_UNORM,11184824,True,3,0,0,3,0,0,0
16,PX_Chamaedorea_elegans_Leaf_01_opacity.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_chamaedorea_elegans_leaf_01_opacity.jpg,4096,4096,13,BC4_UNORM,11184824,True,3,0,0,0,0,3,0
17,PX_Imperata_Cylindrica_Leaf_01_Albedo_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_imperata_cylindrica_leaf_01_albedo_processed.png,4096,4096,13,BC1_UNORM,11184824,True,3,3,0,0,0,0,0
18,PX_Imperata_cylindrica_Leaf_01_normal.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_imperata_cylindrica_leaf_01_normal.jpg,4096,4096,13,BC5_UNORM,22369648,True,3,0,3,0,0,0,0
19,PX_Imperata_cylindrica_Leaf_01_roughness.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_imperata_cylindrica_leaf_01_roughness.jpg,4096,4096,13,BC4_UNORM,11184824,True,3,0,0,3,0,0,0
20,PX_Imperata_cylindrica_Leaf_01_opacity.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/px_imperata_cylindrica_leaf_01_opacity.jpg,4096,4096,13,BC4_UNORM,11184824,True,3,0,0,0,0,3,0
21,MI_QueenForest_Berries_Albedo_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/mi_queenforest_berries_albedo_processed.png,1024,1024,11,BC1_UNORM,699064,True,3,3,0,0,0,0,0
22,MI_QueenForest_Berries_Normal_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/mi_queenforest_berries_normal_processed.png,1024,1024,11,BC5_UNORM,1398128,True,3,0,3,0,0,0,0
23,MI_QueenForest_Berries_Roughness_Processed.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/trees/mi_queenforest_berries_roughness_processed.png,1024,1024,11,BC4_UNORM,699064,True,3,0,0,3,0,0,0
24,Moss_01_BaseColor.tif,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/moss_01_basecolor.tif,4096,4096,13,BC7_UNORM,22369648,True,3,3,0,0,0,0,0
25,Moss_01_Normal.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/moss_01_normal.png,4096,4096,13,BC5_UNORM,22369648,True,3,0,3,0,0,0,0
26,Moss_01_Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/moss_01_roughness.png,4096,4096,13,BC4_UNORM,11184824,True,3,0,0,3,0,0,0
27,Grass_Medium_02_BaseColor.tif,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/grass_medium_02_basecolor.tif,4096,4096,13,BC7_UNORM,22369648,True,5,5,0,0,0,0,0
28,Grass_Medium_02_Normal.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/grass_medium_02_normal.png,4096,4096,13,BC5_UNORM,22369648,True,5,0,5,0,0,0,0
29,Grass_Medium_02_Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/grass_medium_02_roughness.png,4096,4096,13,BC4_UNORM,11184824,True,5,0,0,5,0,0,0
30,Grass_Medium_01_BaseColor.tif,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/grass_medium_01_basecolor.tif,4096,4096,13,BC7_UNORM,22369648,True,6,6,0,0,0,0,0
31,Grass_Medium_01_Normal.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/grass_medium_01_normal.png,4096,4096,13,BC5_UNORM,22369648,True,6,0,6,0,0,0,0
32,Grass_Medium_01_Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/grass_medium_01_roughness.png,4096,4096,13,BC4_UNORM,11184824,True,6,0,0,6,0,0,0
33,Shrub_04_BaseColor.tif,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/shrub_04_basecolor.tif,4096,4096,13,BC7_UNORM,22369648,True,4,4,0,0,0,0,0
34,Shrub_04_Normal.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/shrub_04_normal.png,4096,4096,13,BC5_UNORM,22369648,True,4,0,4,0,0,0,0
35,Shrub_04_Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/shrub_04_roughness.png,4096,4096,13,BC4_UNORM,11184824,True,4,0,0,4,0,0,0
36,Shrub_Sorrel_01_BaseColor.tif,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/shrub_sorrel_01_basecolor.tif,4096,4096,13,BC7_UNORM,22369648,True,7,7,0,0,0,0,0
37,Shrub_Sorrel_01_Normal.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/shrub_sorrel_01_normal.png,4096,4096,13,BC5_UNORM,22369648,True,7,0,7,0,0,0,0
38,Shrub_Sorrel_01_Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/shrub_sorrel_01_roughness.png,4096,4096,13,BC4_UNORM,11184824,True,7,0,0,7,0,0,0
39,Nettle_BaseColor.tif,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/nettle_basecolor.tif,4096,4096,13,BC7_UNORM,22369648,True,6,6,0,0,0,0,0
40,Nettle_Normal.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/nettle_normal.png,4096,4096,13,BC5_UNORM,22369648,True,6,0,6,0,0,0,0
41,Nettle_Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/nettle_roughness.png,4096,4096,13,BC4_UNORM,11184824,True,6,0,0,6,0,0,0
42,anthurium_botany_01_BaseColor.tif,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/anthurium_botany_01_basecolor.tif,4096,4096,13,BC7_UNORM,22369648,True,6,6,0,0,0,0,0
43,Anthurium_Botany_01_Normal.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/anthurium_botany_01_normal.png,4096,4096,13,BC5_UNORM,22369648,True,6,0,6,0,0,0,0
44,Anthurium_Botany_01_Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/plants/anthurium_botany_01_roughness.png,4096,4096,13,BC4_UNORM,11184824,True,6,0,0,6,0,0,0
45,Terrain_Cinematic_BaseColor_4_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_basecolor_4_4.jpg,8192,8192,14,BC1_UNORM,44739256,True,1,1,0,0,0,0,0
46,Terrain_Cinematic_Normal_4_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_normal_4_4.jpg,8192,8192,14,BC5_UNORM,89478512,True,1,0,1,0,0,0,0
47,Metallic-Roughness.png,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/metallic-roughness.png,32,32,6,BC7_UNORM,1392,True,64,0,0,64,64,0,0
48,Terrain_Cinematic_BaseColor_3_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_basecolor_3_4.jpg,8192,8192,14,BC1_UNORM,44739256,True,1,1,0,0,0,0,0
49,Terrain_Cinematic_Normal_3_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_normal_3_4.jpg,8192,8192,14,BC5_UNORM,89478512,True,1,0,1,0,0,0,0
50,Terrain_Cinematic_BaseColor_4_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_basecolor_4_3.jpg,8192,8192,14,BC1_UNORM,44739256,True,1,1,0,0,0,0,0
51,Terrain_Cinematic_Normal_4_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_normal_4_3.jpg,8192,8192,14,BC5_UNORM,89478512,True,1,0,1,0,0,0,0
52,Terrain_Cinematic_BaseColor_3_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_basecolor_3_3.jpg,8192,8192,14,BC1_UNORM,44739256,True,1,1,0,0,0,0,0
53,Terrain_Cinematic_Normal_3_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_cinematic_normal_3_3.jpg,8192,8192,14,BC5_UNORM,89478512,True,1,0,1,0,0,0,0
54,Terrain_BaseColor_2_5.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_2_5.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
55,Terrain_Normal_2_5.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_2_5.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
56,Terrain_BaseColor_1_5.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_1_5.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
57,Terrain_Normal_1_5.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_1_5.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
58,Terrain_BaseColor_0_5.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_0_5.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
59,Terrain_Normal_0_5.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_0_5.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
60,Terrain_BaseColor_0_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_0_4.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
61,Terrain_Normal_0_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_0_4.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
62,Terrain_BaseColor_1_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_1_4.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
63,Terrain_Normal_1_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_1_4.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
64,Terrain_BaseColor_2_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_2_4.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
65,Terrain_Normal_2_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_2_4.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
66,Terrain_BaseColor_5_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_5_4.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
67,Terrain_Normal_5_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_5_4.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
68,Terrain_BaseColor_6_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_6_4.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
69,Terrain_Normal_6_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_6_4.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
70,Terrain_BaseColor_7_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_7_4.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
71,Terrain_Normal_7_4.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_7_4.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
72,Terrain_BaseColor_7_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_7_3.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
73,Terrain_Normal_7_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_7_3.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
74,Terrain_BaseColor_6_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_6_3.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
75,Terrain_Normal_6_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_6_3.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
76,Terrain_BaseColor_5_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_5_3.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
77,Terrain_Normal_5_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_5_3.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
78,Terrain_BaseColor_2_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_2_3.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
79,Terrain_Normal_2_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_2_3.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
80,Terrain_BaseColor_1_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_1_3.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
81,Terrain_Normal_1_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_1_3.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
82,Terrain_BaseColor_0_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_0_3.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
83,Terrain_Normal_0_3.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_0_3.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
84,Terrain_BaseColor_0_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_0_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
85,Terrain_Normal_0_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_0_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
86,Terrain_BaseColor_1_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_1_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
87,Terrain_Normal_1_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_1_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
88,Terrain_BaseColor_2_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_2_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
89,Terrain_Normal_2_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_2_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
90,Terrain_BaseColor_3_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_3_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
91,Terrain_Normal_3_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_3_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
92,Terrain_BaseColor_4_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_4_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
93,Terrain_Normal_4_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_4_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
94,Terrain_BaseColor_5_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_5_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
95,Terrain_Normal_5_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_5_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
96,Terrain_BaseColor_6_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_6_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
97,Terrain_Normal_6_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_6_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
98,Terrain_BaseColor_7_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_7_2.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
99,Terrain_Normal_7_2.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_7_2.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
100,Terrain_BaseColor_0_1.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_0_1.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
101,Terrain_Normal_0_1.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_normal_0_1.jpg,2048,2048,12,BC5_UNORM,5592432,True,1,0,1,0,0,0,0
102,Terrain_BaseColor_1_1.jpg,c:/users/mkkim/myfolder/mydev1/fast-jungle-renderer/assets/scene/jungleruins_1_0_1b/textures/terrain/terrain_basecolor_1_1.jpg,2048,2048,12,BC1_UNORM,2796216,True,1,1,0,0,0,0,0
